ID_DISTRITO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,ID_MUNICIPIO,MUNICIPIO,DIST_LOC,LISTA_NOMINAL,PAN,PRI,PRD,PT,PVEM,PNA,MORENA,ES,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_NA_ES,PRI_PVEM,PRI_NA,PRI_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,TERESA_CASTELL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,FECHA,HORA_LLAMADA,HORA_CAPTURA,ORIGEN_CAPTURA,CAE,CLAVE_AUT
29,3408,B,1,0,1,60,"NEZAHUALCOYOTL",24,664,14,62,159,2,4,0,70,1,1,0,0,0,0,0,1,0,0,0,0,2,0,9,325,2017-06-04,20:58:20.675,21:00:34.279,cap-4,29-5,9936
16,1377,C,1,0,1,34,"ECATEPEC DE MORELOS",37,619,13,82,47,4,5,5,110,1,0,0,0,0,3,0,0,0,0,0,0,4,0,13,287,2017-06-04,20:57:38.245,21:00:28.998,cap-114,16-36,3230
28,4247,B,1,0,2,82,"TECAMAC",33,648,47,115,39,4,1,1,176,2,2,0,0,1,0,0,0,0,0,0,0,13,0,11,412,2017-06-04,20:57:53.428,21:00:20.326,cap-83,28-80,9996
5,238,C,1,0,1,11,"ATENCO",23,744,23,139,43,2,2,5,125,1,1,1,2,1,1,0,0,0,0,0,1,5,0,14,366,2017-06-04,20:57:40.411,21:00:17.976,cap-103,5-26,2918
29,3389,C,1,0,1,60,"NEZAHUALCOYOTL",25,638,11,67,145,2,2,0,79,3,0,0,0,0,1,0,0,0,0,0,0,3,0,13,326,2017-06-04,20:57:36.571,21:00:09.105,cap-116,29-52,9876
22,2788,B,1,0,1,58,"NAUCALPAN DE JUAREZ",29,450,133,33,38,1,0,1,54,1,0,0,1,0,0,0,0,0,0,0,0,11,0,3,276,2017-06-04,20:57:23.439,21:00:08.580,cap-77,22-3,2078
22,2982,C,1,0,1,58,"NAUCALPAN DE JUAREZ",30,454,30,52,23,0,6,0,70,0,1,1,0,0,0,0,0,0,0,0,0,3,1,3,190,2017-06-04,20:57:19.187,20:59:43.099,cap-53,22-57,7671
8,5546,C,2,0,1,110,"TULTITLAN",11,735,44,108,40,3,4,2,127,2,0,0,0,1,6,0,0,0,0,0,0,10,0,19,366,2017-06-04,20:56:54.513,20:59:39.575,cap-30,8-36,6782
10,1756,C,2,0,1,34,"ECATEPEC DE MORELOS",6,645,31,63,37,2,10,4,89,2,1,0,0,0,0,0,0,0,0,0,0,3,1,7,250,2017-06-04,20:57:56.482,20:59:35.135,cap-73,10-93,3033
5,4338,B,1,0,2,85,"TEMASCALAPA",39,620,82,140,21,3,19,0,96,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,377,2017-06-04,20:57:18.920,20:59:33.977,cap-52,5-71,2809
